id,type,value,parent_id,indelible
'72290dbd-bd58-4d28-89f4-5b8d7d7af0bc','OBJECT_STATUS','Перспективный',null,true
'08ebe7d6-92d4-4fc8-a5e7-842df357d6bc','OBJECT_STATUS','Действующий',null,true
'48c43465-d171-459e-9b9c-8e0990dd6413','OBJECT_STATUS','Выведен из эксплуатации      ',null,true
'b2d9bf90-4904-4420-bb15-efffbb68cb0a','OBJECT_STATUS','Строящийся',null,true
'9d2d962c-61d2-4671-bdf8-22f21c5a2476','OBJECT_STATUS','Рассмотрение инвестиций',null,true

'4d8cd9ad-5e0f-4277-b15c-c1ff111c2e41','WASTE_MANAGEMENT_TYPE','Обработка ТКО',null,true
'd2a15470-525d-45eb-acdd-ad2259bc6a4f','WASTE_MANAGEMENT_TYPE','Утилизация ТКО',null,true
'94c47925-8add-482a-8818-f0970bf5ad51','WASTE_MANAGEMENT_TYPE','Обезвреживание ТКО',null,true
'202cd4d3-d56d-4043-9801-b66bf29275eb','WASTE_MANAGEMENT_TYPE','Размещение ТКО',null,true

'1ec1e9f9-b27f-435d-8914-24f9793a9ece','OBJECT_TYPE','Объект обработки отходов',null,true
'b988586c-a56c-4622-b7a2-d0f1a62279ca','OBJECT_TYPE','Объект утилизации отходов',null,true
'9aec93b5-182f-4b7c-98db-0fbba6e77213','OBJECT_TYPE','Объект обезвреживания отходов',null,true
'2cc6f41a-0bb8-4bc1-aea5-4ceda8e59441','OBJECT_TYPE','Объект размещения отходов',null,true

'fe87a270-a839-4197-97be-3a51279c6a00','TKO_OBJECT_TYPE','Полигон (ГРОРО)',null,null
'6e359927-ebae-494a-be45-9028f0a1bf46','TKO_OBJECT_TYPE','Временный полигон',null,null
'3e8ed617-f430-4d4b-a79b-ca4a7c7d0f8b','TKO_OBJECT_TYPE','Не используемый объект размещения',null,null
'3cd2517f-7fc9-4558-9be3-2a834f895f1d','TKO_OBJECT_TYPE','Объект сортировки',null,null
'7cefdca7-cdc8-4ece-9a5d-79fcf3b4a50f','TKO_OBJECT_TYPE','Объект обезвреживания',null,null
'bb8ed9e4-1f97-4228-add6-83ce8b2f3429','TKO_OBJECT_TYPE','Инсинератор',null,null
'c2f6e3d3-56f5-4ba2-8767-d20e9ae91494','TKO_OBJECT_TYPE','Объект энергетической утилизации',null,null
'9dea9a09-d5bf-439c-8b49-4e76da371dc6','TKO_OBJECT_TYPE','Объект утилизации',null,null
'bd62c4d0-1814-432f-b6b6-1598a5f0a451','TKO_OBJECT_TYPE','Объект хранения',null,null
'744a1874-e1ba-4693-b3ff-bbac5c7e8ca6','TKO_OBJECT_TYPE','Объект захоронения',null,null

'c9f90ac9-9dcf-4f05-8ce8-2ba997d91bc3','WASTE_CATEGORY','Пластик',null,null
'96186beb-2427-43ad-b298-4eccefa4261a','WASTE_CATEGORY','Бумага и картон',null,null
'069b5efb-f901-4a89-99f6-c2ef5d609052','WASTE_CATEGORY','Черные металлы',null,null
'e2c54b25-0d03-4108-883d-3eca2dc7416a','WASTE_CATEGORY','Цветные металлы',null,null
'9363a478-d748-453c-a21b-79eae6a02479','WASTE_CATEGORY','Стекло',null,null
'4beb634b-8466-4c92-a0f0-9b6add0a68ce','WASTE_CATEGORY','Дерево',null,null
'6a164308-c9d7-4c73-af60-c874a53fdece','WASTE_CATEGORY','Резина и кожа',null,null
'940c66e3-2942-4df8-a8eb-c7af1720ffe1','WASTE_CATEGORY','Текстиль',null,null
'779cf9e3-eaae-47da-b5ae-db785309b855','WASTE_CATEGORY','Пищевые отходы',null,null
'cda01c7c-e3a1-4b93-b67c-4387909d9581','WASTE_CATEGORY','Специальные отходы',null,null
'a9601d54-dc3c-41fc-a9ae-747c6afeecf0','WASTE_CATEGORY','RDF',null,null
'a7aa7194-b973-4775-8046-e024bbedced0','WASTE_CATEGORY','Компост',null,null

'85336c1c-80c0-4eef-8d46-71af3bb063d2','OWNERSHIP_TYPE','Собственность граждан и юридических лиц (частная собственность)',null,null
'cb9ad002-5f37-4a67-a30d-996724242f49','OWNERSHIP_TYPE','Собственность Российской Федерации (федеральная собственность) на землю',null,null
'5d3503e6-5be4-4a93-b3e8-ff8a73035bd5','OWNERSHIP_TYPE','Собственность на землю субъектов Российской Федерации',null,null
'92501215-7aa8-45a1-8a77-639041edd3c5','OWNERSHIP_TYPE','Муниципальная собственность на землю',null,null
'529a7ad0-34bb-40e9-973e-45970b592bea','OWNERSHIP_TYPE','Государственная собственность не разграничена',null,null

'7fbb03c1-9a56-4a6a-9bd7-f58444af74f3','LAND_CATEGORY','Земли сельскохозяйственного назначения',null,null
'ea6b02c0-df80-4b84-86d7-acd0497b810e','LAND_CATEGORY','Земли населенных пунктов',null,null
