id,type,value,parent_id
'389ab3a9-4008-4fea-905b-44f268a2cb71','FEDERAL_DISTRICT','Центральный федеральный округ',null
'00c9136f-9309-4b1e-a196-b556c31662af','FEDERAL_DISTRICT','Южный федеральный округ',null
'b49b90f7-ded0-4d5e-956f-ac9aad03bac3','FEDERAL_DISTRICT','Северо-Западный федеральный округ',null
'33819f98-74f9-4088-a668-6f6b787bdbb3','FEDERAL_DISTRICT','Дальневосточный федеральный округ',null
'36c63f1e-a134-4c20-b467-d43297931878','FEDERAL_DISTRICT','Сибирский федеральный округ',null
'36b99bed-40a4-439c-b2a0-2a503fdf4674','FEDERAL_DISTRICT','Уральский федеральный округ',null
'36ae5955-8f9d-402a-9057-e5424996d38b','FEDERAL_DISTRICT','Приволжский федеральный округ',null
'ea5fed0f-4546-4d72-9337-b9878fd164e6','FEDERAL_DISTRICT','Северо-Кавказский федеральный округ',null
'a0db0b96-0e45-44f4-9389-dc684b610c21','REGION','Адыгея Респ','00c9136f-9309-4b1e-a196-b556c31662af'
'3a8af8e8-016b-4fa7-a157-265d42087445','REGION','Алтай Респ','36c63f1e-a134-4c20-b467-d43297931878'
'b9ab4144-ff41-456c-9e34-7dc42df11129','REGION','Алтайский край','36c63f1e-a134-4c20-b467-d43297931878'
'481f96bd-b61c-47ad-bf2b-dca62980ea4c','REGION','Амурская обл','33819f98-74f9-4088-a668-6f6b787bdbb3'
'8fb7b6ab-bae7-4251-b8d7-9c46de2d1f8d','REGION','Архангельская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'4e666236-9eb1-4b2f-a37b-21a68f2bede7','REGION','Астраханская обл','00c9136f-9309-4b1e-a196-b556c31662af'
'e2c79ee6-4da5-4e93-a5ca-14ada63b0ba7','REGION','Башкортостан Респ','36ae5955-8f9d-402a-9057-e5424996d38b'
'cf61c4f9-ab7d-4e30-a65e-840cbe0f0061','REGION','Белгородская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'5adf6784-f86e-43ab-8618-921cbaa1625b','REGION','Брянская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'390dc9d5-5ddf-41f0-8581-223c21eb2af2','REGION','Бурятия Респ','36c63f1e-a134-4c20-b467-d43297931878'
'fc76cad8-9435-47bd-93ae-bdce2e055f69','REGION','Владимирская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'1d951a48-61b0-4148-9b99-f78c900eceb2','REGION','Волгоградская обл','00c9136f-9309-4b1e-a196-b556c31662af'
'8e2faf8a-5f2c-491d-bb6e-8e0b3fb0705e','REGION','Вологодская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'3a99f3cd-cafa-4e9e-9ade-7798003cbbe9','REGION','Воронежская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'5b601554-11f7-42c2-9469-5b0a8e989862','REGION','Дагестан Респ','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'97c6f62a-5aef-4058-b62a-4bdba2fc3010','REGION','Еврейская Аобл','33819f98-74f9-4088-a668-6f6b787bdbb3'
'621464fc-d021-4024-a926-2dc75b2fffe4','REGION','Забайкальский край','36c63f1e-a134-4c20-b467-d43297931878'
'f1f46746-201c-4cf3-9a48-a9c3a9083601','REGION','Ивановская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'15bb0f10-02dd-46a3-ab02-d1ef0487483d','REGION','Ингушетия Респ','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'5bbc42d9-f637-41c2-bcf9-d19e5eb5af82','REGION','Иркутская обл','36c63f1e-a134-4c20-b467-d43297931878'
'32b986f7-a3e8-4a8b-800a-30e5aedc790f','REGION','Кабардино-Балкарская Респ','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'e08db82a-e006-44a5-8376-2498869fd0d4','REGION','Калининградская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'dc8954ed-f114-4533-a43b-7ca686dad04c','REGION','Калмыкия Респ','00c9136f-9309-4b1e-a196-b556c31662af'
'd54cc43e-4739-427f-a0fa-3f4d89925926','REGION','Калужская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'51788063-77f8-41eb-a51b-775bb55cbc10','REGION','Камчатский край','33819f98-74f9-4088-a668-6f6b787bdbb3'
'b159f08e-2619-4817-92fe-54993432e9be','REGION','Карачаево-Черкесская Респ','ea5fed0f-4546-4d72-9337-b9878fd164e6'
'260bb373-1688-486f-b4e2-9cd11e978fca','REGION','Карелия Респ','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'd778b86f-3496-4dce-85d6-9062622875d8','REGION','Кемеровская обл','36c63f1e-a134-4c20-b467-d43297931878'
'0288e43c-6c24-4b34-b621-8ddf0a2045f8','REGION','Кировская обл','36ae5955-8f9d-402a-9057-e5424996d38b'
'45c5fa11-84a8-44ba-893d-e6673b5ed0f4','REGION','Коми Респ','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
'9456f956-233b-42dc-a3a4-032cbc4925ca','REGION','Костромская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'e3ee9606-35e3-498e-8669-6b5641d54833','REGION','Краснодарский край','00c9136f-9309-4b1e-a196-b556c31662af'
'd452d57d-8dc5-43e5-81c7-4e5e824731ef','REGION','Красноярский край','36c63f1e-a134-4c20-b467-d43297931878'
'86f8b958-9599-48f7-ad40-9f7e8bf6a233','REGION','Курганская обл','36b99bed-40a4-439c-b2a0-2a503fdf4674'
'80b4e48b-e991-4722-abad-959e31b38877','REGION','Курская обл','389ab3a9-4008-4fea-905b-44f268a2cb71'
'3e47597c-b083-4b04-bf9b-ed34cf671b79','REGION','Ленинградская обл','b49b90f7-ded0-4d5e-956f-ac9aad03bac3'
